Record ID,Current Institution    List the person's current institution. Select the name of the insitutation from the drop down (list is in alphabetical order). 
1047,University of Texas Southwestern
1048,University of Texas Southwestern
1049,NIDDK
1051,University of South Florida
1052,Nova Southeastern University
1053,"University of California, Davis"
1054,University of Wisconsin-Madison
1055,
1056,University of Puerto Rico at Utuado
1057,University of Wisconsin-Stout
1058,University of Wisconsin-Stevens Point
1059,Bangor University
1060,University of Wisconsin-Madison
1061,University of Wisconsin-Madison
1062,University of Wisconsin-Madison
1063,"Southern Cross University, Australia"
1064,San Francisco University
1065,Purdue University
1066,Purdue University
1067,Dartmouth Hitchcock Medical Center
1068,Indiana University Bloomington
1069,George Washington University
1070,University of Wisconsin-Madison
1071,Medical College of Wisconsin
1073,Columbia University
1074,Columbia University
1075,Columbia University
1076,University of Richmond
1077,Columbia University
1078,Yeshiva University
1079,NDRI
1080,University of Pittsburgh
1081,University of Washington
1083,Columbia University
1084,Duke University
1085,Cleveland Clinic
1086,Cleveland Clinic
1087,Cleveland Clinic
1088,Columbia University
1089,University of Wisconsin-Madison
1090,University of Wisconsin-Madison
1091,Boston Children's Hospital
1092,Bethel University
1093,Harvard University
1094,University of Southern California
1095,"University of California, Berkeley"
1096,"University of California, Berkeley"
1097,University of Wisconsin-Madison
1098,San Jose State University
1099,University of Pennsylvania
1100,Vanderbilt University
1101,Stanford University
1102,Stanford University
1103,Stanford University
1104,Stanford University
1105,"University of California, Davis"
1106,Ohio State University
1107,University of North Carolina at Chapel Hill
1108,Macon & Joan Brock Virginia Health Sciences at Old Dominion University
1109,Macon & Joan Brock Virginia Health Sciences at Old Dominion University
1110,University of Wisconsin-Madison
1111,Icahn School of Medicine at Mount Sinai
1112,University of Minnesota
1113,Lurie Children's Hospital of Chicago
1114,Broad Institute
1115,Baylor College of Medicine
1116,University of Connecticut
1117,University of Wisconsin-Madison
1118,University of Wisconsin-Madison
1119,Medical College of Wisconsin
1120,Medical College of Wisconsin
1121,Medical College of Wisconsin
1122,Stanford University
1123,University of Wisconsin-Madison
1124,Loyola University Chicago
1125,Duke University
1126,University College London
1127,Duke University
1128,University of Pittsburgh
1129,University of Texas at Dallas
1130,Michigan State University
1131,University of Texas at Dallas
1132,University of Texas Southwestern
1133,Michigan State University
1134,University of Vermont
1135,Medical College of Wisconsin
1136,"University of California, Los Angeles"
1137,"University of California, San Diego"
1138,Georgia Institute of Technology
1139,Harvard University
1140,"University of California, Los Angeles"
1141,University of Texas at Dallas
1142,Vanderbilt University
1143,Albert Einstein College of Medicine
1144,Albert Einstein College of Medicine
1145,Cleveland Clinic
1146,Cleveland Clinic
1147,Emory University
1148,Emory University
1149,Northwestern University
1150,Northwestern University
1151,University of North Carolina at Chapel Hill
1152,University of North Carolina at Chapel Hill
1153,University of Alabama at Birmingham
1154,"University of California, Los Angeles"
1155,"University of California, Los Angeles"
1156,"University of California, San Francisco"
1157,"University of California, San Francisco"
1158,University of Michigan
1159,University of Michigan
1160,University of Virginia
1161,
1162,
1163,
1164,
1165,
1166,
1167,
1168,
1169,
1170,Macon & Joan Brock Virginia Health Sciences at Old Dominion University
1171,Stanford University
1172,Oregon Health and Science University
1173,University of Michigan
1174,University at Buffalo
1175,Broad Institute
1176,University of Pittsburgh
1177,University of Illinois Chicago
1178,Nationwide Children's Hospital
1179,Nationwide Children's Hospital
1180,Nationwide Children's Hospital
1181,University of Wisconsin-Madison
1182,"University of California, San Francisco"
1183,
1184,Michigan State University
1185,University of Wisconsin-Madison
1186,NIH
1187,
1188,Medical College of Wisconsin
1189,Medical College of Wisconsin
1190,University of Texas Southwestern
1191,
1192,Children's Hospital of Philadelphia
1193,Stanford University
1194,"University of California, San Francisco"
1195,Nationwide Children's Hospital
1196,University of Wisconsin-Madison
1197,Loyola University Chicago
1198,University of Alabama at Birmingham
1199,Children's Hospital of Philadelphia
1200,University of Illinois Chicago
1201,University of Wisconsin-Madison
1202,Michigan State University
1203,Vanderbilt University
1204,Vanderbilt University
1205,Vanderbilt University
1206,Vanderbilt University
1207,Case Western Reserve University
1208,University of Michigan
1209,University of Michigan
1210,Stanford University
1211,University of Michigan
1212,University of Wisconsin-Madison
1213,University of Wisconsin-Madison
1214,University of Wisconsin-Madison
1215,University of Rochester
1216,University of Wisconsin-Madison
1217,Millikin University
1218,University of Wisconsin-Madison
1219,University of Arizona
1220,University of Wisconsin-Madison
1221,Grinnell College
1222,University of Tulsa
1223,University of Wisconsin-Madison
1224,University of Wisconsin-Madison
1225,University of Wisconsin-Madison
1226,University of Alabama at Birmingham
1227,University of Wisconsin-Madison
